src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.055410
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.066479
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.066479
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.066625
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.066625
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.067135
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.067135
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.067201
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.067201
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.067315
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.067315
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.067315
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.067352
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.067352
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.067352
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.067352
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.067352
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.067716
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.067762
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.067863
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.067891
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.067891
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.067970
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.067998
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.067998
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.068066
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.068085
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.068085
13.107.137.11,10.52.21.225,443,2464,TCP,54,1773567964.068461
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.068593
10.52.21.225,13.107.137.11,2464,443,TCP,1454,1773567964.068593
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.068892
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.068953
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.068953
10.52.21.225,13.107.137.11,2463,443,TCP,1454,1773567964.073048
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.073080
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.073080
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.073080
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.073080
13.107.137.11,10.52.21.225,443,2462,TCP,54,1773567964.073080
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.073144
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.073144
10.52.21.225,13.107.137.11,2461,443,TCP,1454,1773567964.073148
10.52.21.225,13.107.137.11,2462,443,TCP,1454,1773567964.073144
